"The","nt ","ng ","he "," th","ent","ion"," of","ed ","in "," an","d t","the","for"," to","on ","ing","tio","ati","d i","n t","of ","nd ","and"," in","er ","to ","an "," co","es ","e a","s, ","al "," fo"," wa"," wh","re ","s a","as "," Th"," a "," is","ter","th ","or ","s. ","is "," re","was","d a"," on","ers","at "," by","n a","ted","qualityClass"
3,3,5,24,31,3,3,15,10,5,8,4,18,1,6,3,5,3,4,2,1,7,7,8,8,4,4,7,3,4,4,3,2,1,3,1,6,4,5,4,3,0,3,2,5,3,0,3,7,1,5,5,1,3,2,2,5
12,19,30,115,169,18,35,86,45,21,29,10,116,12,25,23,31,21,14,10,14,73,18,20,41,37,26,19,46,33,29,15,20,24,6,20,25,19,19,14,42,24,18,23,13,16,27,13,5,14,16,8,22,9,13,13,5
10,37,22,49,60,8,22,16,31,18,18,9,33,12,17,16,14,13,5,7,5,12,29,19,30,13,12,6,16,15,4,5,10,12,5,1,12,12,9,14,9,4,6,5,12,9,11,11,5,12,4,14,11,6,2,14,5
11,10,8,33,31,12,10,9,23,5,13,9,26,7,14,12,11,9,6,2,2,12,6,4,17,9,11,9,6,8,11,1,6,8,3,0,7,6,6,5,4,0,9,9,5,5,1,10,9,0,8,8,5,5,2,6,5
13,1,18,64,67,15,15,13,27,22,27,9,73,4,35,25,11,20,4,4,11,16,43,22,33,20,23,8,13,16,8,6,8,9,6,4,8,15,14,19,19,8,23,19,19,1,6,7,9,3,14,15,13,4,7,13,5
5,8,19,60,65,15,17,39,68,23,33,28,72,13,50,9,32,8,5,7,5,30,42,35,32,38,47,12,18,7,12,9,6,15,20,8,15,15,42,8,13,0,26,27,7,6,20,21,16,14,10,6,8,4,1,11,5
23,19,30,129,150,24,36,58,64,39,60,28,134,27,51,41,41,22,7,16,16,40,57,59,46,46,45,12,39,32,28,6,15,24,31,9,36,20,35,27,31,0,26,37,20,13,10,14,43,22,14,15,22,10,14,21,5
51,36,97,285,261,69,153,167,152,106,146,38,285,31,59,98,89,97,200,35,54,191,168,165,149,68,60,99,91,53,43,47,77,50,29,26,79,72,57,60,44,51,47,48,36,39,33,56,25,37,26,29,20,34,35,33,5
19,3,22,83,75,14,24,23,44,11,33,20,70,17,25,29,17,20,13,5,11,22,28,34,26,34,22,16,32,13,10,11,19,11,7,2,27,18,23,21,10,5,18,20,13,15,10,17,8,12,13,11,9,11,3,4,5
10,8,51,127,123,19,17,33,77,23,47,28,112,21,43,50,63,15,16,9,37,38,57,51,30,40,32,15,23,20,25,17,9,30,26,14,17,20,30,9,26,8,17,26,14,12,17,37,23,9,29,13,44,8,11,18,5
61,22,73,284,288,46,58,142,136,102,140,50,258,22,64,46,82,39,29,31,56,129,141,122,117,66,50,57,52,72,22,59,53,35,30,26,58,73,68,50,56,43,50,54,33,43,66,40,41,41,22,31,20,29,30,35,5
1,3,12,17,16,3,4,4,13,10,8,6,20,6,3,13,5,2,1,2,4,6,6,9,9,10,6,4,6,3,6,1,3,3,1,3,3,6,4,3,1,1,2,2,2,0,4,4,1,0,0,1,5,1,6,3,5
18,6,22,98,81,22,34,52,57,34,48,21,81,12,16,19,27,21,20,10,11,38,43,45,40,24,20,26,18,19,7,18,28,19,15,11,19,17,40,19,19,24,11,10,17,13,30,13,28,11,11,3,6,14,12,24,5
9,1,10,20,28,5,7,8,11,7,7,3,14,8,3,5,5,3,7,2,5,9,7,6,9,5,7,6,4,6,1,3,5,2,6,3,0,3,8,5,7,6,1,2,2,3,7,3,4,5,2,7,7,2,5,2,5
5,0,3,16,30,3,7,8,27,9,11,5,17,5,4,3,8,2,7,3,2,11,8,8,20,13,7,3,10,16,5,2,3,4,6,5,4,4,8,6,8,3,3,3,1,6,6,1,6,1,3,4,4,6,2,8,5
3,0,10,28,24,12,7,15,16,6,15,6,22,3,7,4,8,4,6,3,3,12,8,8,7,4,3,4,5,7,5,5,4,4,4,4,3,5,5,3,9,7,6,4,2,5,5,2,6,3,7,0,8,0,5,3,5
18,22,61,141,164,23,48,38,82,34,69,34,128,22,35,30,67,37,26,12,22,58,59,73,68,28,45,31,39,14,14,14,27,25,18,12,17,27,35,25,29,2,22,11,17,9,12,35,15,24,8,11,21,13,18,20,5
2,1,7,13,18,4,5,6,21,7,11,8,23,6,5,14,9,7,9,3,5,10,9,6,14,7,6,6,4,4,6,4,6,1,8,3,1,4,14,3,9,0,3,1,4,3,2,6,4,1,7,3,5,2,2,6,5
59,70,182,452,475,109,179,209,303,210,227,106,466,104,126,130,171,110,75,73,82,199,245,259,254,126,135,147,108,119,60,53,83,93,92,43,99,77,98,66,93,7,61,96,61,54,13,79,54,80,59,60,55,35,54,68,5
7,4,13,25,34,4,6,6,16,10,21,3,34,6,13,7,16,9,3,2,7,7,18,22,10,13,22,10,10,9,6,4,8,5,4,6,4,11,5,7,16,11,11,9,6,4,10,15,6,7,12,4,11,3,3,9,5
12,7,37,81,83,12,13,23,44,16,46,19,78,17,38,10,45,14,4,4,10,23,46,42,30,31,32,20,18,11,19,5,15,12,15,7,22,19,20,11,21,11,40,17,13,3,15,23,16,6,10,10,16,2,4,8,5
7,10,24,78,84,9,21,51,29,29,53,15,61,13,22,16,30,21,5,9,24,43,44,40,42,36,22,12,12,33,13,15,10,9,1,15,19,16,12,11,25,9,15,4,12,6,22,26,3,6,3,8,17,4,6,3,5
15,20,34,106,111,32,34,34,52,35,54,30,103,13,29,31,29,24,18,11,19,33,43,54,49,34,26,6,24,22,12,17,16,19,22,10,24,21,36,13,12,4,25,22,14,13,12,13,16,16,12,18,13,10,7,17,5
5,7,15,55,32,10,14,33,45,34,30,9,53,6,18,18,17,7,3,8,5,25,36,36,22,20,17,10,8,9,15,12,7,6,22,11,12,21,23,2,12,6,8,4,7,5,27,14,18,13,3,5,7,6,12,5,5
9,0,7,28,23,9,9,17,18,13,24,13,24,7,8,9,7,7,3,1,6,9,9,14,24,10,6,1,14,8,5,4,3,4,5,4,9,9,7,5,9,5,3,6,3,2,7,11,6,2,7,0,8,0,3,3,5
1,2,20,60,57,9,9,28,21,16,24,7,44,6,19,12,22,8,5,4,9,17,28,26,22,12,25,11,11,17,3,6,7,7,7,3,12,14,21,12,12,4,18,10,8,2,7,5,8,4,3,14,8,5,6,4,5
7,6,21,39,46,10,16,12,19,18,17,6,45,3,15,20,15,13,5,3,5,15,21,17,34,8,17,8,8,9,10,2,4,2,7,1,5,12,14,10,11,2,20,20,6,6,6,7,7,6,5,6,13,0,2,2,5
38,35,57,204,204,79,100,129,96,81,112,34,178,37,44,65,61,65,67,18,38,105,97,96,102,58,41,30,49,49,25,41,48,39,28,28,26,52,37,33,39,23,45,21,44,33,23,32,21,15,16,69,17,15,18,23,5
14,4,9,64,50,7,22,34,32,30,36,11,56,6,11,12,20,8,8,7,7,26,51,42,31,18,8,11,12,14,13,9,17,12,10,11,18,20,22,25,18,14,8,11,7,10,16,19,12,6,5,6,4,12,2,14,5
6,4,23,48,58,11,8,21,25,19,14,16,53,3,17,9,10,11,8,6,9,15,31,16,19,31,20,1,6,5,6,1,9,7,14,8,9,12,13,10,9,0,11,1,2,3,7,5,12,5,3,9,4,6,1,11,5
45,32,83,328,315,80,134,194,137,115,156,51,298,43,83,68,84,89,86,33,63,149,149,160,183,75,57,56,77,68,32,45,111,47,27,28,66,72,92,76,40,50,54,55,58,24,53,59,28,37,31,34,24,15,32,42,5
1,5,9,30,40,12,29,18,26,8,18,5,42,7,17,21,8,34,22,4,14,30,14,16,18,9,9,5,5,20,4,8,12,8,2,7,11,20,14,4,6,12,10,11,4,9,13,14,1,7,2,1,3,3,4,8,5
3,2,8,9,13,7,9,1,9,11,10,2,7,4,8,4,7,7,4,3,2,3,9,5,12,7,9,5,5,6,3,5,2,2,3,2,6,8,3,3,5,6,2,1,4,3,3,7,0,1,1,3,4,0,5,2,5
6,2,34,87,101,4,26,31,52,29,31,11,75,22,15,32,44,9,7,8,16,20,33,24,30,31,9,7,9,15,10,6,0,11,11,14,9,10,21,11,22,9,4,12,13,5,15,6,16,9,14,16,14,10,5,16,5
14,22,39,114,136,36,38,79,79,51,65,23,107,25,46,24,75,26,15,12,19,64,58,99,64,35,39,24,30,21,14,19,26,23,24,26,24,33,41,11,36,9,31,14,21,11,65,24,15,14,11,9,30,10,17,17,5
11,6,12,48,38,12,21,20,15,9,19,8,29,8,10,14,10,7,10,1,4,21,15,10,14,8,14,9,6,12,8,4,10,9,2,3,4,7,10,3,6,2,1,3,11,5,4,11,3,5,5,5,3,5,3,6,5
27,16,42,157,178,23,33,99,90,61,59,39,163,9,50,37,43,37,30,13,27,79,57,66,70,43,45,38,33,31,26,17,22,18,35,25,24,28,50,23,33,7,30,22,17,14,15,20,38,27,16,21,12,19,17,31,5
8,9,15,24,24,9,3,8,24,10,15,6,22,11,8,8,13,3,5,1,2,9,27,24,10,5,4,7,7,2,7,5,3,9,8,3,7,4,9,4,10,0,5,2,8,4,4,9,4,4,5,3,8,0,4,8,5
31,11,28,94,92,11,29,24,54,17,40,21,65,10,30,20,32,16,9,6,16,30,30,36,30,26,26,27,15,34,15,11,17,16,18,14,8,19,27,17,24,13,31,11,16,13,24,27,11,5,18,11,17,9,13,16,5
22,12,31,127,145,24,27,84,47,43,54,17,108,18,30,36,34,21,11,14,19,62,67,101,50,31,27,27,17,34,20,14,10,15,12,11,40,26,21,16,27,32,13,23,13,8,23,21,11,16,17,5,8,8,15,13,5
2,17,26,69,80,23,20,40,23,13,31,16,56,11,26,12,34,15,9,3,13,23,23,21,28,13,20,9,26,21,15,5,15,17,9,2,8,16,27,7,17,5,7,10,17,5,10,16,12,10,12,8,12,6,7,5,5
17,5,21,53,61,12,9,33,17,7,34,13,39,14,15,13,42,6,16,3,9,31,34,42,21,13,13,11,6,22,13,21,9,12,8,4,7,18,15,19,5,12,20,10,9,7,15,6,1,5,4,8,6,5,5,3,5
3,9,15,44,34,6,10,15,23,15,17,10,42,7,15,21,16,10,8,4,6,16,18,17,16,9,8,2,9,5,11,2,8,9,5,3,3,6,13,3,7,1,5,5,14,1,16,5,16,1,5,1,7,3,7,8,5
17,4,21,78,78,26,16,42,38,22,33,16,70,5,19,13,21,5,12,4,14,34,27,17,24,24,9,7,9,11,9,6,26,3,23,10,13,11,24,9,16,2,30,7,14,5,2,21,17,8,11,18,16,7,4,27,5
3,2,2,15,15,3,2,11,8,2,8,4,8,1,3,3,1,1,2,1,3,4,9,4,3,7,2,1,2,3,2,1,0,8,3,0,6,1,6,8,3,1,3,2,3,0,2,2,2,11,3,3,1,1,0,2,5
20,5,13,87,80,13,15,23,30,26,30,11,57,9,11,16,21,11,5,8,16,25,20,18,41,19,19,14,5,22,8,3,9,10,9,6,5,10,13,12,20,5,8,12,13,4,22,14,14,4,5,12,16,6,11,9,5
31,25,52,172,171,42,78,87,81,70,76,30,162,28,45,91,57,40,39,20,25,70,76,82,91,44,47,23,40,43,15,19,52,32,27,15,37,51,52,36,32,37,34,19,37,20,29,38,21,24,14,32,20,13,26,27,5
21,9,23,55,69,20,18,26,24,25,38,23,67,16,23,13,27,15,13,1,13,26,29,33,29,25,17,30,7,35,11,15,23,15,1,7,15,22,12,13,13,17,6,15,11,21,16,9,2,3,7,9,14,2,5,8,5
12,4,19,55,60,5,6,45,28,13,26,14,66,9,16,24,26,10,2,7,14,55,18,26,26,22,22,14,5,5,14,5,2,7,16,6,7,10,15,9,14,12,7,10,10,5,29,13,18,10,6,1,20,9,8,9,5
6,4,9,88,78,12,18,28,35,16,18,12,79,6,14,12,14,8,6,3,10,34,16,10,24,23,14,16,12,4,4,4,9,7,15,2,8,12,16,9,8,5,41,2,9,4,9,17,14,8,5,1,9,8,4,6,5
12,9,35,79,89,20,20,36,67,24,30,24,86,14,29,19,35,6,13,6,10,39,25,42,55,39,19,8,25,22,7,5,11,13,18,7,16,10,27,18,26,3,6,11,10,12,9,18,25,12,7,9,22,12,8,9,5
4,2,2,22,18,8,2,12,13,3,7,2,13,1,10,4,9,3,4,5,4,9,4,7,11,2,6,0,9,2,1,0,1,5,8,3,2,2,6,6,4,2,2,2,1,0,1,2,2,3,0,1,2,3,1,7,5
7,7,22,75,87,29,27,53,55,35,42,10,56,18,13,21,35,18,9,15,25,41,49,53,49,20,17,16,14,22,17,17,18,20,21,3,17,25,24,11,23,4,15,30,12,9,9,18,19,15,13,8,16,7,13,19,5
13,11,24,72,73,20,9,35,32,27,32,26,72,5,24,17,38,16,10,6,13,44,51,42,42,11,15,7,14,13,7,13,10,13,11,4,17,21,14,17,13,0,4,18,14,4,3,8,15,10,8,4,2,8,9,8,5
4,5,4,33,34,7,16,11,12,11,10,5,36,12,13,14,10,15,15,1,7,20,7,12,17,7,7,7,7,9,5,2,8,12,2,1,7,6,2,6,9,11,2,6,5,5,14,10,0,2,1,2,4,3,4,4,5
8,1,8,20,14,8,2,7,3,5,16,5,17,0,6,4,5,3,2,1,6,3,6,11,8,8,6,2,5,15,2,4,2,2,1,0,2,6,4,4,9,10,5,1,7,4,7,2,0,1,0,0,2,4,1,1,5
4,0,7,14,28,1,6,8,9,3,3,3,20,1,4,2,3,0,0,1,2,8,1,4,6,5,8,2,8,1,4,1,0,1,4,0,2,7,1,2,2,1,7,5,1,0,0,2,3,0,3,2,3,0,0,2,5
16,19,44,132,158,38,57,89,71,35,68,21,153,25,44,39,38,44,17,16,24,71,68,84,37,31,21,21,26,18,19,15,29,21,25,8,20,33,47,28,37,27,43,14,15,16,31,25,16,18,25,7,22,18,22,22,5
17,6,26,55,74,22,56,41,34,23,36,13,63,14,14,22,23,28,30,2,8,31,31,27,22,15,19,7,16,21,6,11,17,13,6,3,15,23,19,17,23,1,10,11,15,13,5,10,6,11,9,13,9,5,9,7,5
8,2,22,34,30,8,7,14,34,13,23,5,46,5,19,14,20,4,0,6,6,12,28,30,17,13,11,4,7,4,14,6,9,7,7,1,3,4,18,14,16,2,9,15,2,7,6,15,7,4,5,4,6,2,2,5,5
9,4,14,40,37,3,14,10,24,14,17,4,38,2,12,14,15,10,8,7,4,9,13,13,7,10,14,8,10,7,5,6,8,11,12,2,3,9,13,5,10,4,3,4,7,2,4,6,6,6,3,3,9,1,6,3,4
2,2,6,24,30,2,5,5,12,5,7,8,25,4,0,14,3,2,1,1,3,3,6,6,9,1,4,0,4,2,0,3,2,2,4,5,2,2,4,2,0,0,3,5,2,1,1,4,1,2,6,2,3,1,1,5,4
16,26,46,204,177,34,39,68,35,44,56,30,138,21,41,51,57,26,22,11,26,77,60,56,56,38,47,29,20,44,11,23,19,28,11,28,15,28,31,17,40,27,26,12,14,7,34,39,8,15,14,20,26,9,11,8,4
2,5,8,18,21,3,4,8,22,5,16,4,20,6,7,3,8,3,2,5,6,8,13,12,11,6,4,4,7,4,2,6,9,7,4,1,4,7,7,7,5,9,3,0,2,4,4,4,3,1,2,6,3,1,4,3,4
41,25,75,203,162,65,65,90,87,82,79,25,193,31,45,56,67,55,47,23,33,100,109,109,77,43,51,22,43,47,20,29,40,33,14,16,32,47,41,37,33,33,28,23,38,26,26,35,16,21,25,59,15,11,10,16,4
5,9,29,55,86,23,32,40,40,29,46,20,80,8,32,20,38,30,12,6,18,46,45,41,39,24,28,24,30,18,12,8,26,12,9,11,21,19,24,11,7,7,15,17,3,14,17,17,10,4,4,6,7,6,11,8,4
14,5,14,42,44,10,7,24,28,18,26,9,43,7,17,9,15,4,9,2,13,11,17,15,12,14,14,12,9,10,6,5,5,15,2,4,20,15,7,5,9,7,3,4,10,9,26,10,4,7,4,2,11,4,7,6,4
16,19,49,71,97,20,33,42,78,38,55,23,89,20,40,34,54,47,37,15,17,45,35,61,55,12,47,21,48,23,12,25,20,36,12,4,21,33,25,27,17,22,13,13,35,24,22,31,11,11,13,12,20,8,17,21,4
8,4,11,27,29,5,9,15,17,10,24,8,36,9,12,19,9,8,5,5,5,18,24,33,22,15,18,4,12,15,11,6,7,7,4,5,8,9,9,4,12,5,10,3,11,2,14,8,3,3,5,4,7,5,10,7,4
6,4,36,36,45,17,16,23,31,13,35,20,39,6,25,12,53,17,11,10,7,23,27,25,22,18,26,10,18,16,12,21,14,15,2,5,19,19,6,9,8,18,14,5,19,11,22,5,2,5,3,11,5,1,5,4,4
16,12,48,86,105,17,25,42,42,31,59,24,87,6,25,18,52,11,13,11,11,32,45,45,53,20,25,43,19,38,11,30,21,15,9,16,33,39,32,13,15,25,21,16,7,9,19,16,5,9,11,9,10,4,15,9,4
11,5,42,116,136,13,17,50,63,20,46,24,104,23,35,11,31,11,4,5,20,42,40,41,37,20,43,28,21,3,27,16,22,20,21,14,11,17,8,17,24,0,18,14,16,6,27,24,10,22,14,4,12,4,14,6,4
7,0,3,16,7,1,5,5,5,1,3,2,4,2,5,1,0,2,1,1,2,1,2,1,3,8,1,0,3,0,1,0,0,2,5,0,1,3,3,0,5,1,1,2,1,2,0,0,4,3,1,0,2,1,0,1,4
29,24,85,210,256,64,80,155,110,53,125,41,232,36,70,79,104,83,62,19,48,147,89,108,95,50,64,44,60,63,36,32,55,43,30,23,41,27,42,25,56,23,37,39,26,23,62,49,23,21,27,11,44,18,26,33,4
21,16,39,95,142,19,63,52,42,33,44,26,124,15,38,36,43,60,31,3,25,63,50,40,47,31,37,19,23,33,29,13,20,15,6,14,26,33,20,17,31,24,19,13,19,18,21,28,2,5,15,5,33,14,12,14,4
28,19,28,131,167,35,67,57,83,50,74,36,144,27,50,33,31,50,26,16,22,67,53,48,88,33,48,11,39,21,25,3,43,26,22,16,30,28,41,22,16,7,17,7,25,19,11,41,25,15,18,22,29,22,11,19,4
0,2,12,16,11,3,8,7,17,7,7,5,9,5,3,9,11,1,5,1,1,4,8,12,8,6,4,2,6,9,2,0,2,4,10,4,1,4,9,0,4,0,3,3,2,1,2,5,5,4,5,0,5,0,2,6,4
17,24,67,156,189,47,68,71,130,43,97,63,153,42,70,48,75,48,30,22,27,67,59,62,76,68,90,45,53,32,22,23,38,34,49,24,33,42,58,19,51,7,41,23,22,10,45,36,44,24,16,16,63,23,24,36,4
16,10,53,127,175,26,20,60,91,58,69,54,135,30,43,52,48,30,17,5,32,52,50,51,66,57,60,21,33,26,19,10,19,24,43,16,24,27,37,11,17,2,24,19,32,8,29,15,25,26,30,20,54,9,20,24,4
17,23,47,133,197,31,44,80,97,51,97,34,180,15,50,41,42,38,25,15,26,97,83,114,63,38,48,38,38,39,18,23,23,25,18,14,47,20,22,29,28,43,40,26,24,14,38,32,6,24,23,12,24,20,12,25,4
3,7,28,39,45,1,4,17,22,14,18,10,44,5,17,9,39,3,4,3,7,20,20,23,13,14,13,5,6,5,7,7,4,12,5,2,10,7,9,7,24,7,8,4,23,6,8,11,1,7,7,5,3,8,5,4,4
16,20,41,100,137,29,55,46,47,57,65,26,141,14,51,44,57,47,37,14,25,52,64,51,42,34,34,29,38,42,15,18,44,18,12,14,25,41,38,28,22,20,13,13,18,19,27,20,4,10,12,9,21,10,27,18,4
7,6,9,37,48,14,14,24,23,17,22,3,46,7,23,27,10,15,9,4,4,27,26,22,19,28,18,9,5,39,7,3,6,8,7,8,13,17,17,5,25,19,7,11,7,2,12,11,4,2,4,9,6,4,7,6,4
19,11,20,56,127,14,23,48,55,31,50,17,86,14,36,27,40,22,22,8,18,40,43,47,48,23,29,21,26,27,25,8,16,3,9,13,31,32,23,25,22,21,10,23,13,10,23,23,6,18,8,3,25,9,8,21,4
32,90,141,349,456,130,115,172,201,91,169,94,396,109,159,142,148,131,94,30,75,167,114,108,188,133,197,67,223,127,76,58,73,90,51,61,90,101,73,57,173,57,61,28,150,52,97,114,40,45,46,55,86,26,68,60,4
2,0,5,18,21,2,13,21,12,6,6,7,13,2,5,4,3,14,10,5,1,5,8,7,13,3,5,2,6,6,3,3,10,1,2,1,3,1,5,3,3,3,9,3,5,0,1,4,3,2,2,4,6,0,0,1,4
6,15,13,77,80,18,36,41,39,18,30,15,64,10,16,21,24,30,30,11,10,38,61,29,21,10,22,22,14,25,7,14,22,12,17,11,30,22,14,10,30,27,11,4,10,8,22,6,2,5,7,6,14,7,9,8,4
3,6,26,52,56,12,15,35,31,21,33,12,49,10,18,15,36,11,6,4,9,32,32,23,33,18,14,19,11,11,14,21,13,8,13,3,17,30,18,3,15,9,12,12,9,7,23,10,11,14,6,4,18,5,7,5,4
3,2,9,25,19,7,6,16,15,12,15,4,23,4,7,9,9,5,8,8,2,14,4,6,7,2,6,8,3,4,3,2,3,1,7,1,7,3,5,2,2,0,7,4,2,1,8,2,2,7,3,2,4,3,0,5,4
24,15,35,144,141,22,33,66,36,27,59,18,141,26,46,23,48,17,7,11,33,70,53,54,45,34,55,21,19,43,14,17,14,28,14,13,12,26,14,13,44,23,28,27,19,6,49,27,6,10,12,20,25,10,13,7,4
18,28,69,132,187,49,81,97,75,139,76,26,170,17,50,59,69,78,46,24,37,67,73,45,102,35,46,6,46,35,23,19,46,24,9,12,26,35,26,22,27,40,35,31,28,20,49,79,7,12,13,9,31,12,31,34,4
27,22,33,160,167,38,55,79,61,49,87,29,158,25,46,47,43,48,35,12,44,75,64,87,73,45,35,36,24,36,22,19,30,24,24,11,35,36,43,31,30,44,31,14,25,20,41,20,17,21,17,27,14,10,23,16,4
24,38,38,103,144,57,99,92,125,88,98,45,116,42,82,47,56,65,63,24,28,91,95,81,92,51,78,39,69,59,39,23,46,64,24,10,33,48,54,17,27,27,24,23,35,30,53,62,17,27,18,23,36,10,26,39,4
14,21,37,101,113,40,61,53,40,47,38,21,101,19,29,42,27,41,37,3,11,59,46,51,60,69,42,9,46,58,21,7,39,16,50,6,22,25,13,13,12,16,64,8,26,14,20,15,14,12,7,17,20,15,6,12,4
5,2,10,28,21,3,2,6,26,10,15,9,31,5,10,10,7,2,3,0,3,10,13,12,16,12,15,4,4,3,4,1,0,7,10,1,3,4,11,1,10,0,1,2,4,1,2,6,11,4,2,2,5,2,1,6,4
6,6,18,60,71,27,27,47,41,22,22,16,66,14,15,19,21,33,21,4,15,33,21,25,30,18,22,17,32,21,20,19,23,14,6,7,20,15,18,6,17,12,12,6,37,14,15,20,3,8,8,11,8,7,18,9,4
7,6,12,43,50,5,7,14,32,7,24,16,41,9,17,15,12,4,2,8,12,15,26,21,13,12,14,1,8,1,7,3,3,10,13,1,12,8,11,9,6,0,4,13,6,3,11,6,15,6,7,3,20,3,4,5,4
7,8,25,52,48,25,20,23,60,27,48,10,59,5,26,20,21,21,11,19,14,42,22,28,24,21,18,16,19,12,10,12,24,9,9,5,26,16,25,15,14,8,11,9,14,4,10,26,6,10,5,11,10,10,8,9,4
22,32,100,214,261,71,100,111,166,83,150,97,233,38,114,74,133,86,56,33,54,126,131,113,130,79,101,47,62,73,42,39,64,45,39,28,50,64,96,21,92,19,56,38,45,23,83,56,39,42,35,33,73,19,36,60,4
10,16,68,85,154,25,43,49,72,66,73,18,127,12,77,35,77,30,27,12,38,39,84,72,97,37,51,34,45,41,36,20,41,21,8,20,41,53,23,17,36,25,32,16,38,32,35,37,4,24,12,17,48,16,20,17,4
15,10,17,67,56,14,18,12,20,24,21,6,45,8,13,20,22,13,7,4,16,10,34,41,25,22,5,6,8,16,9,5,12,17,3,4,9,17,10,18,7,10,13,10,13,6,22,9,10,4,11,4,11,3,8,3,4
3,3,27,62,82,8,10,37,21,21,21,10,61,18,24,21,29,3,6,5,13,16,28,28,23,30,24,5,9,9,10,12,5,19,14,5,8,15,17,3,10,6,26,12,13,8,20,16,6,3,7,13,14,10,7,7,4
9,4,15,69,85,25,18,26,24,18,26,7,95,8,24,27,27,12,5,6,18,20,20,25,23,22,22,10,10,20,4,6,11,6,10,10,12,13,13,13,12,17,7,5,22,8,7,19,7,7,11,10,13,11,10,8,4
9,8,21,47,62,13,11,16,27,13,29,6,58,11,24,8,22,4,6,2,16,22,16,21,27,17,17,6,9,20,16,8,7,14,5,6,8,12,13,12,12,13,9,4,5,7,16,6,2,7,6,3,15,3,3,10,4
33,49,60,198,279,93,122,134,109,55,95,44,241,54,96,123,62,95,82,22,57,142,134,99,110,78,87,36,75,133,50,51,69,54,19,31,71,84,68,39,75,54,22,33,96,37,84,90,11,28,55,29,48,26,39,20,4
28,20,91,220,307,63,101,149,145,89,116,63,265,47,98,97,86,97,62,29,40,170,83,98,113,91,94,42,66,45,39,26,75,36,37,60,51,60,67,20,67,15,61,46,50,20,80,60,34,29,41,31,60,28,37,25,4
26,32,85,152,232,78,105,114,95,56,124,53,188,27,79,71,99,85,156,29,45,110,105,85,135,33,69,36,59,53,46,37,54,43,9,21,63,56,53,26,59,23,45,32,46,24,46,62,8,15,26,32,38,15,24,34,4
3,5,6,24,41,6,29,19,9,8,14,2,37,20,4,22,4,18,24,4,8,16,13,11,12,6,8,5,8,5,9,2,2,14,3,5,5,6,0,2,3,10,6,7,6,4,13,3,1,0,4,0,5,4,4,4,4
13,9,14,41,31,9,2,23,22,11,4,9,22,5,6,15,18,0,5,4,3,23,24,16,18,11,8,3,5,2,1,1,3,5,9,7,4,4,17,6,10,0,11,7,11,2,4,4,10,11,4,0,5,1,4,8,4
34,26,101,339,434,63,82,188,147,71,129,91,368,43,120,71,108,51,31,21,54,182,143,145,115,70,94,87,66,91,48,76,42,55,56,44,65,67,102,60,69,15,44,41,33,36,82,66,61,37,27,91,71,42,44,44,4
28,18,67,135,154,27,52,76,102,82,76,26,151,32,40,44,70,35,23,21,33,74,93,78,83,44,46,23,36,26,35,38,20,26,49,25,31,44,65,24,61,12,26,28,40,24,60,33,49,16,22,25,44,14,17,30,4
18,6,34,97,93,11,8,36,64,29,49,21,89,20,28,20,37,3,4,8,12,29,62,43,30,34,26,9,13,11,14,23,16,20,18,3,15,13,34,31,23,0,58,16,7,10,18,30,34,15,19,44,12,12,6,9,4
11,20,46,119,205,35,57,62,101,26,32,37,133,17,41,48,53,31,37,3,23,64,42,37,50,35,31,57,25,18,23,5,13,22,18,11,25,14,16,6,27,16,32,14,14,8,22,29,10,17,16,4,51,17,30,23,4
1,9,15,39,44,13,18,43,28,16,22,3,45,4,7,15,12,17,9,4,13,38,33,24,23,12,18,7,7,17,8,5,18,5,13,11,1,13,20,7,25,12,6,10,6,9,26,12,13,8,8,10,6,5,11,17,4
6,9,14,40,54,11,15,47,42,36,22,6,54,14,14,10,13,16,4,2,12,33,22,23,29,15,12,15,14,13,6,4,14,10,8,3,15,20,21,6,9,2,7,5,6,6,28,7,7,7,10,14,11,3,4,4,4
47,24,47,265,263,38,57,118,84,88,102,30,273,18,46,58,55,49,47,29,50,131,94,99,102,60,38,52,48,28,35,30,51,37,55,30,58,50,84,69,36,33,55,38,37,17,41,27,34,17,24,17,14,21,19,29,4
12,10,14,88,109,24,24,44,26,18,26,12,90,7,29,21,10,21,13,6,15,36,42,32,28,21,16,10,11,19,6,9,7,17,4,12,10,16,11,7,13,9,12,16,10,5,17,10,5,7,9,7,10,0,6,6,4
0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
10,7,26,50,67,6,13,35,27,20,27,17,70,12,15,26,26,8,2,7,10,26,38,36,17,15,13,8,6,17,9,8,8,9,14,3,5,10,23,17,10,4,15,9,14,4,3,14,18,7,10,7,9,7,6,8,4
1,2,1,2,3,1,0,0,0,2,1,1,7,1,2,1,1,0,1,1,1,1,0,2,1,0,3,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,1,0,4
6,8,21,54,58,10,19,23,35,22,21,18,50,9,16,8,18,11,6,9,9,25,16,15,36,13,20,28,26,17,7,10,8,9,9,8,16,9,13,7,7,5,11,8,2,6,5,10,4,5,10,9,10,4,4,17,4
